,index,VariableName,VarLabel,Notes,Code,Value
0,0,gereg,Geographic region,,1.0,Northeast
1,1,gereg,Geographic region,,2.0,Midwest 
2,2,gereg,Geographic region,,3.0,South
3,3,gereg,Geographic region,,4.0,West
4,950,msa13chg,MSA boundary change between 2013 and 2015 surveys,,1.0,Yes
5,951,msa13chg,MSA boundary change between 2013 and 2015 surveys,,2.0,No
6,952,msa13chg,MSA boundary change between 2013 and 2015 surveys,,-1.0,NIU (not in MSA or MSA code not reported)
7,953,gtcbsast,Metropolitan status,,1.0,Metropolitan area - principal city
8,954,gtcbsast,Metropolitan status,,2.0,Metropolitan area - balance
9,955,gtcbsast,Metropolitan status,,3.0,Not in metropolitan area
10,956,gtcbsast,Metropolitan status,,4.0,Not identified
11,957,hagege16,Number of persons aged 16 or older,,,
12,958,hagele15,Number of children aged 15 or younger,,,
13,959,hagege15_17,Number of children aged 15-17,,,
14,960,hagege15_18,Number of children aged 15-18,,,
15,961,hagele18,Number of children aged 18 or younger,,,
16,979,hbaseresp,Base respondent - household,,0.0,Nonrespondent
17,980,hbaseresp,Base respondent - household,,1.0,Respondent
18,981,hbnkaccm,Most common way to access account,Excludes households with missing information on bank account access methods used.,1.0,Bank teller
19,982,hbnkaccm,Most common way to access account,Excludes households with missing information on bank account access methods used.,2.0,ATM/Kiosk
20,983,hbnkaccm,Most common way to access account,Excludes households with missing information on bank account access methods used.,3.0,Telephone banking
21,984,hbnkaccm,Most common way to access account,Excludes households with missing information on bank account access methods used.,4.0,Online banking
22,985,hbnkaccm,Most common way to access account,Excludes households with missing information on bank account access methods used.,5.0,Mobile banking
23,986,hbnkaccm,Most common way to access account,Excludes households with missing information on bank account access methods used.,6.0,Other
24,987,hbnkaccm,Most common way to access account,Excludes households with missing information on bank account access methods used.,98.0,Unknown
25,988,hbnkaccm,Most common way to access account,Banked households that accessed account in past 12 months,-1.0,NIU
26,1084,hbnkprev,Previously banked,Excludes households with missing information on previous bank account ownership.,1.0,Once had bank account
27,1085,hbnkprev,Previously banked,Excludes households with missing information on previous bank account ownership.,2.0,Never had bank account
28,1086,hbnkprev,Previously banked,Unbanked households,-1.0,NIU
29,1087,hbnkprev,Previously banked,Excludes households with missing information on previous bank account ownership.,99.0,Unknown
30,1088,hbnkprevly,Previously banked (within last year),Excludes households with missing information on previous bank account ownership.,1.0,Had bank account within last year
31,1089,hbnkprevly,Previously banked (within last year),Excludes households with missing information on previous bank account ownership.,2.0,Had bank account more than 1 year ago
32,1090,hbnkprevly,Previously banked (within last year),Excludes households with missing information on previous bank account ownership.,3.0,Never had bank account
33,1091,hbnkprevly,Previously banked (within last year),Unbanked households,-1.0,NIU
34,1092,hbnkprevly,Previously banked (within last year),Excludes households with missing information on previous bank account ownership.,98.0,"Previously banked, recency unknown"
35,1093,hbnkprevly,Previously banked (within last year),Excludes households with missing information on previous bank account ownership.,99.0,Unknown
36,1241,hhfamtyp,Household family type,,1.0,Family household 
37,1242,hhfamtyp,Household family type,,2.0,Nonfamily household
38,1243,hhfamtyp,Household family type,,3.0,Other 
39,1244,hhincome,Family income,,1.0,"Less than $15,000"
40,1245,hhincome,Family income,,2.0,"$15,000 to $30,000"
41,1246,hhincome,Family income,,3.0,"$30,000 to $50,000"
42,1247,hhincome,Family income,,4.0,"$50,000 to $75,000"
43,1248,hhincome,Family income,,5.0,"At least $75,000"
44,1249,hhincome2,Family income (excludes imputed values),Households with unknown income are categorized as Missing.,1.0,"Less than $15,000"
45,1250,hhincome2,Family income (excludes imputed values),Households with unknown income are categorized as Missing.,2.0,"$15,000 to $30,000"
